particles,iterations,x,y,fitness
30,100,210.70299773534668,200.79602304913476,-402.24425364113836
30,100,210.70301212425056,200.7960432016831,-402.2442536411854
30,100,210.70300947845607,200.796058247079,-402.24425364114427
30,100,408.28389940208444,704.2973396573013,-442.8745388756688
30,100,408.28390161302787,704.297379074523,-442.8745388755765
30,100,1.7704140150792236e-08,6.948804200051894e-07,-498.9999975431501
30,100,210.703003529185,200.7960452881068,-402.2442536411793
30,100,408.2839899666716,704.2975620349762,-442.8745388723439
30,100,210.70301031643143,200.79603749997003,-402.24425364118656
30,100,408.2838481897917,704.2972078017525,-442.8745388746661
30,100,210.70300920346648,200.79604166828608,-402.24425364118787
30,100,-0.7223654056405824,1.1435006914805717,-484.68627186290723
30,100,210.70302957811327,200.79606469630386,-402.24425364105866
30,100,408.2838085450822,704.2973146677072,-442.8745388740265
30,100,210.70301720981914,200.79605812496914,-402.2442536411394
30,100,210.70309622663248,200.79604266863726,-402.2442536399568
30,100,408.28389596039773,704.297190008635,-442.87453887420565
30,100,-1.8214156970309511e-06,9.354618972877702e-06,-498.9999663164139
30,100,-8.926302408308734e-06,2.0565546671624896e-06,-498.9999675183979
30,100,210.70297761039467,200.7960424222463,-402.2442536410289
30,100,408.28392073494325,704.2973928432895,-442.8745388754537
30,100,210.70300833847472,200.79604192814895,-402.24425364118764
30,100,210.7030224795605,200.79602235822577,-402.24425364110346
30,100,210.7030099132157,200.7960415792433,-402.2442536411876
30,100,408.2839720004523,704.2973345845427,-442.87453887417064
